intervention_id,provider_name, pdu_ref_id,status
e06974e6-4d6c-4db0-bc75-da85671956a8,,newcastle-upon-tyne,
e06974e6-4d6c-4db0-bc75-da85671956a8,,north-tyneside-and-northumberland,
e06974e6-4d6c-4db0-bc75-da85671956a8,,redcar-cleveland-and-middlesbrough,
e06974e6-4d6c-4db0-bc75-da85671956a8,,stockton-and-hartlepool,
e06974e6-4d6c-4db0-bc75-da85671956a8,,sunderland,
e06974e6-4d6c-4db0-bc75-da85671956a8,,cardiff-and-the-vale,
e06974e6-4d6c-4db0-bc75-da85671956a8,,cwm-taf-morgannwg,
e06974e6-4d6c-4db0-bc75-da85671956a8,,dyfed-powys,
e06974e6-4d6c-4db0-bc75-da85671956a8,,gwent,
e06974e6-4d6c-4db0-bc75-da85671956a8,,north-wales,
e06974e6-4d6c-4db0-bc75-da85671956a8,,swansea-neath-and-port-talbot,
5d19b0ab-3de3-4b90-b0cb-f57a7a263ae9,,bolton,
5d19b0ab-3de3-4b90-b0cb-f57a7a263ae9,,bury-and-rochdale,
5d19b0ab-3de3-4b90-b0cb-f57a7a263ae9,,manchester-north,
5d19b0ab-3de3-4b90-b0cb-f57a7a263ae9,,manchester-south,
5d19b0ab-3de3-4b90-b0cb-f57a7a263ae9,,oldham,
5d19b0ab-3de3-4b90-b0cb-f57a7a263ae9,,salford,
5d19b0ab-3de3-4b90-b0cb-f57a7a263ae9,,stockport-and-trafford,
5d19b0ab-3de3-4b90-b0cb-f57a7a263ae9,,tameside,
5d19b0ab-3de3-4b90-b0cb-f57a7a263ae9,,wigan,
47b0048c-cab2-4509-a64a-29a4218712c9,Seetec Business Technology Centre Limited,central-lancashire,
47b0048c-cab2-4509-a64a-29a4218712c9,Seetec Business Technology Centre Limited,cheshire-east,
47b0048c-cab2-4509-a64a-29a4218712c9,Seetec Business Technology Centre Limited,cheshire-west,
47b0048c-cab2-4509-a64a-29a4218712c9,Seetec Business Technology Centre Limited,cumbria,
47b0048c-cab2-4509-a64a-29a4218712c9,Seetec Business Technology Centre Limited,east-lancashire,
47b0048c-cab2-4509-a64a-29a4218712c9,Seetec Business Technology Centre Limited,knowsley-and-st-helens,
47b0048c-cab2-4509-a64a-29a4218712c9,Seetec Business Technology Centre Limited,liverpool-north,
47b0048c-cab2-4509-a64a-29a4218712c9,Seetec Business Technology Centre Limited,liverpool-south,
